date,price,Fear&Greed
2020-04-11,6814.05,15
2020-04-12,7143.45,10
2020-04-13,6763.065,11
2020-04-14,6885.1,15
2020-04-15,6727.15,18
2020-04-16,7055.8225,13
2020-04-17,7086.85,15
2020-04-18,7226.61,18
2020-04-19,7170.65,16
2020-04-20,6896.31,15
2020-04-21,6856.8,17
2020-04-22,7137.85,19
2020-04-23,7556.95,19
2020-04-24,7502.9,20
2020-04-25,7598.605,24
2020-04-26,7602.64,21
2020-04-27,7674.375,28
2020-04-28,7724.15,26
2020-04-29,8273.45,26
2020-04-30,8740.75,44
2020-05-01,8771.5725,40
2020-05-02,8891.445,40
2020-05-03,8819.01,45
2020-05-04,8801.36,44
2020-05-05,8900.3,40
2020-05-06,9248.9475,42
2020-05-07,9375.95,49
2020-05-08,9986.6675,55
2020-05-09,9740.815,56
2020-05-10,8465.45,48
2020-05-11,8857.0625,40
2020-05-12,8729.95,39
2020-05-13,9099.2,41
2020-05-14,9582.5825,40
2020-05-15,9523.595,44
2020-05-16,9465.05,41
2020-05-17,9775.125,40
2020-05-18,9636.55,50
2020-05-19,9789.75,50
2020-05-20,9772.205,52
2020-05-21,9335.15,49
2020-05-22,9177.8,42
2020-05-23,9186.8317,40
2020-05-24,9203.13,43
2020-05-25,8776.34,41
2020-05-26,8871.05,39
2020-05-27,8923.05,39
2020-05-28,9207.95,41
2020-05-29,9448.365,48
2020-05-30,9550.815,48
2020-05-31,9545.15,51
2020-06-01,9564.95,50
2020-06-02,10136.5,56
2020-06-03,9594.45,48
2020-06-04,9529.55,54
2020-06-05,9836.805,53
2020-06-06,9679.75,54
2020-06-07,9621.55,54
2020-06-08,9730.365,53
2020-06-09,9668.96,52
2020-06-10,9731.05,54
2020-06-11,9797.5,52
2020-06-12,9475.95,38
2020-06-13,9432.3875,38
2020-06-14,9421.895,40
2020-06-15,9137.25,37
2020-06-16,9490.7375,39
2020-06-17,9474.64,38
2020-06-18,9447.25,40
2020-06-19,9276.15,39
2020-06-20,9312.005,38
2020-06-21,9339.125,37
2020-06-22,9474.9,38
2020-06-23,9591.715,41
2020-06-24,9510.3,50
2020-06-25,9274.1267,43
2020-06-26,9127.55,40
2020-06-27,9164.315,43
2020-06-28,8991.5,40
2020-06-29,9096.15,41
2020-06-30,9144.385,44
2020-07-01,9153.95,42
2020-07-02,9199.875,42
2020-07-03,9094.955,41
2020-07-04,9083.395,40
2020-07-05,9075.3125,38
2020-07-06,9203.25,40
2020-07-07,9265.375,43
2020-07-08,9279.5833,44
2020-07-09,9403.85,44
2020-07-10,9144.715,41
2020-07-11,9278.05,44
2020-07-12,9279.05,41
2020-07-13,9294.6625,43
2020-07-14,9202.4067,43
2020-07-15,9214.1275,44
2020-07-16,9116.325,43
2020-07-17,9122.22,41
2020-07-18,9140.2575,44
2020-07-19,9156.11,41
2020-07-20,9185.375,44
2020-07-21,9206.5125,44
2020-07-22,9357.195,50
2020-07-23,9511.615,55
2020-07-24,9544.48,53
2020-07-25,9601.75,55
2020-07-26,9712.08,55
2020-07-27,10300.5,58
2020-07-28,10985.3117,76
2020-07-29,10982.5,71
2020-07-30,11053.5,76
2020-07-31,11025.5,75
2020-08-01,11354.1567,75
2020-08-02,11301.28,80
2020-08-03,11164.445,75
2020-08-04,11275.995,72
2020-08-05,11219.5,75
2020-08-06,11796.8174,79
2020-08-07,11827.265,77
2020-08-08,11568.5,77
2020-08-09,11666.45,79
2020-08-10,12010.28,78
2020-08-11,11832.5,84
2020-08-12,11342.01,75
2020-08-13,11565.095,75
2020-08-14,11759.5,78
2020-08-15,11895.627,79
2020-08-16,11908.33,82
2020-08-17,11856.5,83
2020-08-18,12327.5,82
2020-08-19,11918.5,80
2020-08-20,11833.8974,75
2020-08-21,11583.1389,81
2020-08-22,11674.6244,78
2020-08-23,11611.5,76
2020-08-24,11744.0127,78
2020-08-25,11378.726,75
2020-08-26,11458.8226,76
2020-08-27,11302.121,75
2020-08-28,11482.2257,74
2020-08-29,11515.0444,79
2020-08-30,11657.0039,75
2020-08-31,11678.3733,75
2020-09-01,11964.2087,75
2020-09-02,11795.7,83
2020-09-03,11302.8875,79
2020-09-04,10292.5983,40
2020-09-05,10439.5,41
2020-09-06,10110.44,41
2020-09-07,10164.13,41
2020-09-08,10316.5833,41
2020-09-09,10032.5,38
2020-09-10,10341.016,38
2020-09-11,10380.5396,41
2020-09-12,10436.3654,41
2020-09-13,10313.0686,38
2020-09-14,10680.2976,39
